Stazione;Data;Dato pluviometrico giornaliero 0-24
Aniene a Ponte Salario ;19/03/2021;0
Aniene a Ponte Salario ;20/03/2021;0
Aniene a Ponte Salario ;21/03/2021;0
Aniene a Ponte Salario ;22/03/2021;0
Aniene a Ponte Salario ;23/03/2021;0
Aniene a Ponte Salario ;24/03/2021;0
Aniene a Ponte Salario ;25/03/2021;0
Aniene a Ponte Salario ;26/03/2021;0
Aniene a Ponte Salario ;27/03/2021;0
Aniene a Ponte Salario ;28/03/2021;0
Aniene a Ponte Salario ;29/03/2021;0
Aniene a Ponte Salario ;30/03/2021;0
Aniene a Ponte Salario ;31/03/2021;0
Aniene a Subiaco ;01/03/2021;0
Aniene a Subiaco ;02/03/2021;0
Aniene a Subiaco ;03/03/2021;0
Aniene a Subiaco ;04/03/2021;0
Aniene a Subiaco ;05/03/2021;0
Aniene a Subiaco ;06/03/2021;3,6
Aniene a Subiaco ;07/03/2021;5,6
Aniene a Subiaco ;08/03/2021;36
Aniene a Subiaco ;09/03/2021;42,2
Aniene a Subiaco ;10/03/2021;0
Aniene a Subiaco ;11/03/2021;0
Aniene a Subiaco ;12/03/2021;2,2
Aniene a Subiaco ;13/03/2021;0,4
Aniene a Subiaco ;14/03/2021;3,6
Aniene a Subiaco ;15/03/2021;0,2
Aniene a Subiaco ;16/03/2021;0,2
Aniene a Subiaco ;17/03/2021;0,6
Aniene a Subiaco ;18/03/2021;0,2
Aniene a Subiaco ;19/03/2021;0
Aniene a Subiaco ;20/03/2021;0
Aniene a Subiaco ;21/03/2021;0
Aniene a Subiaco ;22/03/2021;0
Aniene a Subiaco ;23/03/2021;0
Aniene a Subiaco ;24/03/2021;0
Aniene a Subiaco ;25/03/2021;0
Aniene a Subiaco ;26/03/2021;0
Aniene a Subiaco ;27/03/2021;0
Aniene a Subiaco ;28/03/2021;0
Aniene a Subiaco ;29/03/2021;0
Aniene a Subiaco ;30/03/2021;0
Aniene a Subiaco ;31/03/2021;0
Anzio ;01/03/2021;0
Anzio ;02/03/2021;0
Anzio ;03/03/2021;0
Anzio ;04/03/2021;0
Anzio ;05/03/2021;0,2
Anzio ;06/03/2021;5,8
Anzio ;07/03/2021;0,4
Anzio ;08/03/2021;41,6
Anzio ;09/03/2021;41,8
Anzio ;10/03/2021;0,6
Anzio ;11/03/2021;0
Anzio ;12/03/2021;0
Anzio ;13/03/2021;0,4
Anzio ;14/03/2021;1,6
Anzio ;15/03/2021;0
Anzio ;16/03/2021;0
Anzio ;17/03/2021;1,8
Anzio ;18/03/2021;0
Anzio ;19/03/2021;0
Anzio ;20/03/2021;0
Anzio ;21/03/2021;0
Anzio ;22/03/2021;0
Anzio ;23/03/2021;0
Anzio ;24/03/2021;0
Anzio ;25/03/2021;0
Anzio ;26/03/2021;0
Anzio ;27/03/2021;0
Anzio ;28/03/2021;0
Anzio ;29/03/2021;0
Anzio ;30/03/2021;0
Anzio ;31/03/2021;0
Aprilia ;01/03/2021;0
Aprilia ;02/03/2021;0
Aprilia ;03/03/2021;0
Aprilia ;04/03/2021;0
Aprilia ;05/03/2021;0,2
Aprilia ;06/03/2021;3,4
Aprilia ;07/03/2021;6,8
Aprilia ;08/03/2021;39,6
Aprilia ;09/03/2021;83,4
Aprilia ;10/03/2021;0
Aprilia ;11/03/2021;0
Aprilia ;12/03/2021;0
Aprilia ;13/03/2021;0
Aprilia ;14/03/2021;0,2
Aprilia ;15/03/2021;0
Aprilia ;16/03/2021;0
Aprilia ;17/03/2021;0,8
Aprilia ;18/03/2021;0
Aprilia ;19/03/2021;0
Aprilia ;20/03/2021;0
Aprilia ;21/03/2021;0
Aprilia ;22/03/2021;0
Aprilia ;23/03/2021;0
Aprilia ;24/03/2021;0
Aprilia ;25/03/2021;0
Aprilia ;26/03/2021;0
Aprilia ;27/03/2021;0
Aprilia ;28/03/2021;0
Aprilia ;29/03/2021;0
Aprilia ;30/03/2021;0
Aprilia ;31/03/2021;0
Ardea ;01/03/2021;0
Ardea ;02/03/2021;0
Ardea ;03/03/2021;0
Ardea ;04/03/2021;0
Ardea ;05/03/2021;0,4
Ardea ;06/03/2021;6,8
Ardea ;07/03/2021;3,4
Ardea ;08/03/2021;32,4
Ardea ;09/03/2021;44,2
Ardea ;10/03/2021;0
Ardea ;11/03/2021;0
Ardea ;12/03/2021;0
Ardea ;13/03/2021;0
Ardea ;14/03/2021;0
Ardea ;15/03/2021;0
Ardea ;16/03/2021;0
Ardea ;17/03/2021;1,6
Ardea ;18/03/2021;0
Ardea ;19/03/2021;0,2
Ardea ;20/03/2021;0
Ardea ;21/03/2021;0
Ardea ;22/03/2021;0
Ardea ;23/03/2021;0
Ardea ;24/03/2021;0
Ardea ;25/03/2021;0
Ardea ;26/03/2021;0
Ardea ;27/03/2021;0
Ardea ;28/03/2021;0
Ardea ;29/03/2021;0
Ardea ;30/03/2021;0
Ardea ;31/03/2021;0
Arrone a Maccarese ;01/03/2021;0
Arrone a Maccarese ;02/03/2021;0
Arrone a Maccarese ;03/03/2021;0
Arrone a Maccarese ;04/03/2021;0,2
